"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots"
"177","Somalia",67.2587736363889,95.1250998671163,2371.39606416405,NA,NA,2614.25148897663,63.292951086417,459.109465091417,0
"178","South_Sudan",1116.97106279255,61.1295064897706,643.09483234324,NA,NA,13201.9546644652,1995.32570968752,1370.41046510486,0
"179","Sri_Lanka",NA,31772.0974150075,798.786042665785,17.2305173411209,NA,37.7750156603884,150.611389728086,1486.56478524428,0
"180","Sudan",3399.27450557733,186.035233920642,1957.12847098072,NA,NA,40177.4669099364,6072.36842672219,4170.56583772258,0
"181","Suriname",NA,1543.49721838675,0.499241276666115,0.0785756491126036,5.59390680616071,NA,0.800849585175072,237.470412978319,0
"182","Swaziland",5.7687332772749,1.04686463536812,1172.54302444187,NA,NA,4.90401743014118,71.0431083623048,4131.66855860545,0
"183","Switzerland",2419.99654419636,NA,453.311079212833,6.31411466083422,NA,236.794859108078,310.807140620687,NA,0
"184","Syrian_Arab_Republic",46227.4724954719,NA,1128.78452654209,10.383210775594,NA,8053.14967165749,181.379514113361,NA,0
"185","Tajikistan",8296.11104045766,539.135287214581,918.603949065652,0.112250927303719,NA,239.323397433482,74.7502669259378,NA,0
"186","The_former_Yugoslav_Republic_of_Macedonia",2521.11752348277,88.0762113223043,792.146133686125,3.36752781911158,NA,317.193806539556,50.5439423675816,NA,0
"187","Timor-Leste",NA,1570.29695305218,1772.30653216471,5.522745623343,NA,NA,33.6098487197667,NA,0
"188","Togo",NA,1072.09407308049,11741.7554341657,3.08690050085228,143.407429030665,1722.28969699182,672.481146828784,NA,0
"189","Tonga",NA,NA,NA,NA,NA,NA,18.8716329667868,NA,0
"190","Trinidad_and_Tobago",NA,65.638412637581,29.9544765999669,NA,NA,NA,NA,1266.5088692177,0
"191","Tunisia",21652.151359099,NA,NA,NA,NA,2654.71422455192,160.789929617086,NA,0
"192","Turkmenistan",23928.6021590999,1954.14731935382,374.430957499587,NA,NA,397.953973731806,NA,NA,0
"193","Uganda",258.687590909188,3943.19012655324,20443.9302794774,813.819222951966,NA,4512.18582523602,5102.1868732928,2770.48815141372,0
"194","Ukraine",142562.731350054,753.742537465045,42954.7194443526,4011.84814183493,NA,35171.172198417,55523.4184173395,NA,0
"195","United_Arab_Emirates",0.258687590909188,NA,2.77078908549694,NA,NA,NA,NA,NA,0
"196","United_Republic_of_Tanzania",1376.83883385506,22115.7133319084,64393.6625502894,30.8690050085228,45.7683284140421,6427.77707319144,11108.5587621058,1662.29289084823,0
"197","Uruguay",5003.0180081837,6186.96999502558,1231.87785017364,1734.83808147898,NA,877.335452857966,840.246217994169,234.383297609601,0
"198","Uzbekistan",37470.638855605,2116.76029271433,819.504555647428,NA,NA,385.648012390253,158.103208428111,NA,0
"199","Vanuatu",NA,NA,34.9468893666281,NA,NA,NA,29.7089362242366,NA,NA
"200","Venezuela_(Bolivarian_Republic_of)",1.88841941363707,7915.3086125305,17495.1866409128,74.9106563361372,256.831517580309,1569.00394867915,65.4242443372862,9773.49063014435,0
"201","Wallis_and_Futuna_Islands",NA,NA,0.249620638333058,NA,NA,NA,NA,0.0791568043261063,0
"202","Western_Sahara",NA,NA,NA,NA,NA,15.3059220666079,NA,NA,NA
"203","Yemen",2863.90445019653,NA,1080.88232604597,NA,NA,4383.06506668211,NA,NA,0
"204","Zambia",442.355780454712,501.029414487181,18721.5478749793,236.709142951718,NA,623.257146552275,1691.09723452751,1899.76330382655,0
"205","Zimbabwe",1738.40647966884,8.72387196140098,51054.6844996858,264.558598015771,NA,3357.69685796474,2879.45468349697,3441.7378520991,0
