"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","sugarcane","Roots"
"26","Sweden",40371.5872237907,NA,NA,NA,NA,23732.3765662816,6076.7226947396,NA,2819.98093056482
"27","United_Kingdom",205823.353023137,NA,NA,NA,NA,63848.1243095649,38837.3475291966,NA,14109.9116823861
"28","Argentina",280071,5313,220110,50094,0,33907.8662597294,24002.5366253028,25047,6228.81641517206
"29","Australia",263406,0,6006,0,0,165132.222023409,85944.1758566458,70356,7284.67707840353
"30","Bangladesh",14316,1113069,3579,0,0,0,7007.95438196752,8351,19377.8201175357
"31","Brazil",68910,163087,675318,87286,4594,59426.4786817207,693.587674994166,535201,116650.225289928
"32","Canada",590688,0,156462,8790,0,172552.328687183,305975.303091592,NA,27142.6744186047
"33","Chile",45720,2032,30480,0,0,3533.95956192081,1335.40861088546,NA,9757.43144634765
"34","China,_mainland",4258200,5496400,4862200,453000,6040,194114.546287385,1291057.90166017,398421.791239087,848114.902040318
"35","Egypt",302400,113400,340200,1260,0,56700,5339.66983491746,32090.1765958335,20392.2376398366
"36","Eu-27-2006",2793960,42984,1289520,10746,0,1167980.93228148,630099.920041025,45.6150609162241,NA
"37","India",2892330,4131900,344325,137730,0,619785,473031.859420319,688650,109904.946342802
"38","Indonesia",0,1057500,352500,9400,305500,NA,4938.95422142765,47000,60403.6864493374
"39","Iran_(Islamic_Republic_of)",414000,86250,63250,2300,0,92000,42063.3291574009,10614.3579729548,47034.6260577147
"40","Malaysia",0,81000,2700,0,351000,NA,1.67288568007081,1620,307.896231774285
"41","Mexico",59360,5600,686560,0,13440,19357.6980216622,423.114399501708,68318.1914070658,4419.11939960436
"42","Morocco",63280,904,6780,0,0,42478.9409995159,420.509475945676,2800.85166561911,5333.97363136296
"43","Pakistan",1003971,249006,127152,0,0,15894,25728.5127204722,174238.481943671,13095.3689585475
"44","Philippines",0,208000,104000,0,2600,0,85.3877958368976,10400,1498.12819069636
"45","ROW-2006",943410,1015980,943410,36285,50799,401247.627385556,223021.557925373,255666.926446883,NA
"46","Russian_Federation",401520,11472,69788,3824,0,153393.355821173,21418.3081669359,NA,37267.185882759
"47","South_Africa",30888,0,205920,429,0,4204.79311196149,18194.5925108168,49335,6180.79768687813
"48","Thailand",0,310200,72380,1034,31020,2593.52689907212,1814.29183970329,51700,58046.305517606
"49","Turkey",583905,12663,95676,1407,0,164691.856284143,29063.2719450625,NA,27377.9397625459
"50","United_States_of_America",1603980,227430,5793480,95760,0,339159.865005662,148480.528143406,48814.1728518124,81076.4723137613
"51","Viet_Nam",0,763640,134760,7861,0,0,9932.26935946463,44920,18812.018453624
"52","World",16614315,15097830,16586556,907206,764993,NA,NA,NA,NA
"53","Afghanistan",63223.2472182056,5583.27805529663,3419.80274516289,NA,NA,1518.34746900751,85.6392378985602,292.880176006593,123.453291607174
"54","Albania",1940.15693181891,NA,1222.41722798082,1.12250927303719,NA,21.5752277450905,16.7920074310902,NA,58.7822847987559
"55","Algeria",46145.3391853583,9.84052757246031,9.33581187365636,NA,NA,4975.75322568296,230.967603750249,NA,610.013577153949
"56","American_Samoa",NA,NA,0.149772382999835,NA,NA,NA,NA,2.4538609341093,0.0925899687053806
"57","Angola",103.475036363675,270.230657876357,28018.8183220771,39.2878245563018,233.927011893993,2987.05477156859,2400.09453905452,949.881651913276,5108.9231205609
"58","Antigua_and_Barbuda",NA,NA,0.998482553332231,NA,NA,NA,NA,NA,0.123453291607174
"59","Armenia",2591.73923580097,NA,63.1789835620969,NA,NA,303.461333261395,NA,NA,203.772003126801
"60","Azerbaijan",14501.3796273918,41.8745854147247,795.491050239788,0.594929914709713,NA,1101.68965851031,136.906528278558,NA,412.624109203238
"61","Bahamas",NA,NA,2.49620638333058,NA,NA,NA,NA,182.060649950045,0.0987626332857391
"62","Bahrain",NA,NA,NA,NA,NA,NA,NA,NA,0.0061726645803587
"63","Barbados",NA,NA,7.23899851165867,NA,NA,NA,0.14208621672461,530.350588984912,0.123453291607174
"64","Belarus",9866.78448618098,NA,967.255011476765,NA,NA,7225.66866815488,1525.70887826006,NA,9512.14910869601
"65","Belize",NA,101.650556094244,370.786496179924,1.70621409501654,NA,13.5426798445347,0.710431083623048,1861.53056733704,0.734547085062686
"66","Benin",NA,911.051396673028,17588.5197975856,108.765536010939,223.756272246428,1146.81151676267,1510.0018928476,137.811996331751,1347.37539726527
"67","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,0.246906583214348
"68","Bhutan",174.614123863702,921.450252051018,754.927696510666,7.25702245018546,NA,70.8725415372213,NA,32.4542897737036,40.5976149450191
"69","Bolivia_(Plurinational_State_of)",3344.57186286489,5876.36525771186,8861.73235733421,5332.58132739776,NA,1206.41889965886,1373.9349649406,9171.26566283133,1060.47612023479
"70","Bosnia_and_Herzegovina",1897.42174180071,NA,4901.62574049942,35.6677321507568,NA,156.34081035716,17.7995278769556,NA,251.042268483188
"71","Botswana",4.94093298636549,NA,1507.03467980817,NA,NA,336.730285465374,65.1659057614232,NA,NA
"72","Brunei_Darussalam",NA,38.2105591909363,2.09681336199768,NA,NA,NA,NA,NA,1.11725228904492
"73","Burkina_Faso",NA,1542.38056277569,11126.390636547,28.7979753997692,NA,15636.5238608778,4011.95933236487,356.205619467479,18.5056484119154
"74","Burundi",258.687590909188,715.357500834881,2870.63734083016,21.3276761877067,55.9390680616071,459.177661998238,161.461609914329,199.950087727745,462.949843526902
"75","Cabo_Verde",NA,NA,730.464873954027,NA,NA,NA,NA,116.835443185333,3.20978558178653
"76","Cambodia",NA,87811.5290469954,2628.4304354556,361.346960083403,138.759401011728,NA,175.618563871617,656.684848689378,594.575743038473
"77","Cameroon",14.0984737045508,1744.7743922802,14034.5459593187,68.1082501415318,732.293254624674,3795.86867251877,3060.67919446482,9023.87569317612,1843.18233435343
"78","Cayman_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.0185179937410761
"79","Central_African_Republic",NA,872.387196140098,3629.40919517116,NA,30.5122189426948,355.703506459142,1821.05445511536,1021.12277580677,1189.66998990169
"80","Chad",48.2452357045636,3821.19550104501,4304.78279424508,NA,NA,12009.0693100424,6277.21405174773,307.919968828554,543.44138965478
"81","China,_Taiwan_Province_of",1.73320685909156,9184.1434460845,490.978833537291,0.477066441040808,NA,11.3692389110764,316.865180224673,869.141711500648,16.86371963354
"82","Colombia",440.881261186529,15001.9540751914,15066.1531713577,153.222515769577,1678.17204184821,286.153396588475,29.218092930097,32459.0391819632,1871.41610214399
"83","Comoros",NA,593.223293375267,49.9241276666115,NA,NA,NA,14.0794523845295,NA,67.5412958382849
"84","Congo",NA,64.5566525143673,287.063734083016,NA,109.843988193701,68.8766492997357,547.238605250437,1187.3520648916,762.949717842596
"85","Cook_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.370359874821522
"86","Costa_Rica",NA,1705.62165491743,156.262519596494,NA,492.324823380028,NA,2.29921332518005,4219.05767058147,118.305289347155
"87","Côte_d'Ivoire",NA,12911.3305028735,9670.45330140566,3.36752781911158,2229.7617651546,635.973306605213,937.368605589836,1812.45334865486,1893.71793927282
"88","Croatia",4541.28652716989,NA,7920.91217145692,352.524037197331,NA,376.813434173407,564.741043765151,NA,103.447685702232
"89","Cuba",NA,4984.08763349976,3049.36571787663,NA,NA,14.7426641345568,143.455411176683,31433.1669978968,563.335887597276
"90","Democratic_People's_Republic_of_Korea",2069.50072727351,20358.0276091253,11956.8285761535,1683.76390955579,NA,1019.33767542313,NA,NA,1171.25693145848
"91","Democratic_Republic_of_the_Congo",173.941536127338,14597.4106845973,37026.2043218786,180.460203279825,1725.50666416798,409.329335011709,6122.09465387084,3166.27217304425,11712.3779619828
"92","Djibouti",NA,NA,0.149772382999835,NA,NA,NA,NA,NA,NA
"93","Dominica",NA,NA,3.54461306432942,NA,NA,NA,NA,17.4144969517434,0.728374420482326
"94","Dominican_Republic",NA,5315.03644022747,554.906679014387,NA,44.7512544492857,1.84895538564624,28.4818279888877,6599.22361986316,121.539765587263
"95","Ecuador",252.142794859186,12477.1608430985,9753.3023912684,112.250927303719,1457.95518699914,274.245389220654,206.283352826547,7221.95019949664,444.172597873451
"96","El_Salvador",NA,146.351676024463,6088.14752068794,9.54132882081615,NA,545.803058526412,NA,4827.77349584923,9.3824501621452
"97","Equatorial_Guinea",NA,NA,NA,NA,35.5975887664772,NA,NA,NA,124.650788535763
"98","Eritrea",480.848493981999,NA,726.795450570531,NA,NA,2435.47219686983,30.6777058837225,NA,9.41948614962738
"99","Ethiopia",37756.4886435596,224.063927456623,38095.2296676038,35.4712930279753,NA,17491.0873363693,781.073767192765,1978.92010815266,381.544743041132
"100","Faroe_Islands",NA,NA,NA,NA,NA,NA,NA,NA,0.629611787196587
"101","Fiji",NA,191.925183150822,12.2314112783198,NA,NA,0.0612236882664317,3.8750786379439,4591.09465091417,24.7523849672384
"102","French_Guiana",NA,308.406321579448,2.24658574499752,NA,NA,NA,NA,13.4566567354381,32.7151222759011
"103","French_Polynesia",NA,NA,NA,NA,NA,NA,NA,3.16627217304425,1.83945404494689
"104","Gabon",NA,17.3081619714196,511.722308582768,18.2688384186803,40.6829585902597,NA,216.410225000374,284.964495573983,283.9425706965
"105","Gambia",NA,640.227515503295,774.398106300645,NA,35.5975887664772,970.21791032697,1420.8621672461,NA,15.8267119840397
"106","Georgia",1446.06363318236,NA,2953.01215148007,6.17380100170457,NA,160.58973432285,288.047512087163,NA,140.736752432178
"107","Ghana",NA,4361.93598070049,19794.9166198115,NA,3386.85630263912,3183.63178985445,6200.12582071024,435.362423793585,4876.40501848338
"108","Grenada",NA,NA,7.48861914999173,NA,NA,NA,NA,12.665088692177,0.19135260199112
"109","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,997.37573450894,0.956763009955598
"110","Guam",NA,NA,0.399393021332892,NA,NA,NA,NA,NA,NA
"111","Guatemala",18.0822626045522,317.060402565157,14408.5525617331,72.9631027474176,457.683284140421,199.528000060301,36.1157329056371,14937.0472899449,120.8052185022
"112","Guinea",NA,26465.9244286928,11473.8875271705,NA,3152.92929074513,1962.21920893914,2671.29837599542,415.573222712058,852.765957105715
"113","Guinea-Bissau",NA,2268.20670996426,399.393021332892,NA,96.6220266518667,287.751334852229,258.338575862927,15.8313608652213,21.6043260312555
"114","Guyana",NA,3562.82930903616,74.8861914999173,NA,NA,NA,22.772545462317,3356.24850342691,12.9625956187533
"115","Haiti",NA,1849.46085581701,6565.02278815942,NA,NA,704.072415063965,322.923219828658,1424.82247786991,566.656781141509
"116","Honduras",52.3066308818378,184.108593873406,8133.38925880602,4.20940977388948,813.659171805194,353.872918179975,1.86003774621307,6015.91712878408,39.8136865433136
"117","Iceland",NA,NA,NA,NA,NA,NA,NA,NA,4.39493718121539
"118","Iraq",39152.3668841056,4388.10759658469,4106.2595005788,0.168376390955579,NA,6391.75305501547,316.464755432085,NA,277.769906116141
"119","Israel",2196.25764681901,NA,220.165403009757,NA,NA,72.3051758426558,105.402138952074,NA,111.16968909226
"120","Jamaica",NA,0.0348954878456039,39.9143400694559,NA,NA,NA,31.7627279023468,2374.70412978319,9.03678094564511
"121","Japan",5647.15010954758,58903.5834833794,635.534145195965,797.542838492927,NA,331.587495650994,120.941204290229,1717.70265387651,13777.4060277684
"122","Jordan",696.386994727534,NA,16.1005311724822,NA,NA,223.380749008903,NA,NA,32.5793236551332
"123","Kazakhstan",306834.525329206,3056.8447352749,2229.61154159087,260.422151344629,NA,10750.3225240222,7296.04972723594,NA,947.504013085059
"124","Kenya",3892.93781807419,806.295142160525,47132.9944990905,14.1043290157123,NA,1993.29635310318,419.645182631738,4323.62380909625,1168.21380782036
"125","Kuwait",2.79382598181923,NA,15.1519727468166,NA,NA,5.85910696709751,NA,NA,7.6664494088055
"126","Kyrgyzstan",10509.4420682767,220.365005744989,1801.21260208368,1.40874913766168,NA,634.075372268953,766.387219154958,NA,500.609270131671
"127","Lao_People's_Democratic_Republic",NA,25924.0323979384,2841.0572951877,50.0639135774589,NA,NA,237.477735861995,480.481802259465,115.3053743611
"128","Lebanon",1368.45735590961,NA,26.2101670249711,NA,NA,100.284401380415,32.2923219828658,NA,122.836025149138
"129","Lesotho",586.263687277493,NA,4212.72270282785,NA,NA,218.697136856521,NA,NA,34.8323462269641
"130","Liberia",NA,4536.41341992851,149.772382999835,43.216607011932,172.902574008604,NA,109.793894741744,1978.92010815266,512.331160169772
"131","Libya",3414.67620000128,NA,34.447648089962,NA,NA,1282.51382180521,135.627752328036,NA,94.750401308506
"132","Madagascar",111.235664090951,43991.3457074391,6367.0736219613,0.454616255580064,18.3073313656169,10.689655971319,707.847697864419,6490.85795474072,2649.55454447317
"133","Malawi",42.8386650545616,1815.64712809462,44004.0996458409,404.10333829339,NA,686.531828375632,3257.88194634978,1781.02809733739,2078.08925762356
"134","Maldives",NA,NA,0.624051595832644,NA,NA,0.275506597198943,NA,NA,0.0864173041250218
"135","Mali",92.2221261591256,14254.5974120021,10296.4519382173,7.01568295648246,NA,14772.7433326021,4322.92147613107,370.61215785483,60.0168177148277
"136","Martinique",NA,NA,NA,NA,NA,NA,NA,277.048815141372,0.870345705830576
"137","Mauritania",7.06217123182084,548.731546372122,867.306907888209,NA,NA,1238.52460178578,12.9169287931463,NA,2.51227448420599
"138","Mauritius",NA,NA,2.89559940466347,NA,NA,NA,2.29921332518005,5282.29186628973,3.0184329797954
"139","Micronesia_(Federated_States_of)",NA,3.07080293041315,1.14825493633207,NA,NA,0.0244894753065727,NA,NA,6.71585906343026
"140","Mongolia",3051.60816616024,NA,NA,NA,NA,13.9712456623997,129.169287931463,NA,66.1894822951864
"141","Montenegro",20.9019573454624,NA,69.4444615842567,NA,NA,6.33665173557568,NA,NA,62.8315527634712
"142","Montserrat",NA,NA,0.374430957499587,NA,NA,NA,NA,NA,0.253079247794707
"143","Mozambique",175.907561818248,12482.1160023725,41534.3780122375,NA,NA,2840.16689867977,4280.67020204869,2612.17454276151,5336.2685297201
"144","Myanmar",2376.40768512817,281756.463034321,8162.24540459732,883.543886446671,NA,2923.21683181318,18219.9609922438,11436.0209914056,323.583422631564
"145","Namibia",56.083469709112,NA,721.50349303787,NA,NA,1645.12948266963,10.1397891026199,NA,3.3332388733937
"146","Nepal",17384.8408594611,54068.7089559075,21241.39333276,129.649821035796,NA,1762.62998519057,NA,4912.31296286951,931.232869251233
"147","New_Caledonia",0.258687590909188,NA,24.9620638333058,NA,NA,NA,NA,NA,3.09867761934006
"148","New_Zealand",982.02983260946,NA,671.130048222259,NA,NA,288.228879620707,19.0137191835114,NA,72.3251108880629
"149","Nicaragua",NA,3064.24257869817,8565.98182503721,6.22431391899124,25.4268491189123,240.719297525956,336.201822628013,4007.55068942211,82.4050721477886
"150","Niger",134.517547272778,574.903162256325,424.330123102365,NA,NA,54564.4489173802,4006.01754512002,332.458578169647,69.7511097580533
"151","Nigeria",1629.73182272789,95090.2043792707,101520.713610055,3535.90421006716,31275.0244162621,75176.5668223515,28727.2496359574,3720.369803327,25159.7808295421
"152","Niue",NA,NA,NA,NA,NA,NA,NA,NA,0.0432086520625109
"153","Norway",2218.19435452811,NA,2.52116844716388,NA,NA,970.30974585937,84.1408741585552,NA,86.7012466957183
"154","Occupied_Palestinian_Territory",545.960160613842,NA,30.8281488341326,NA,NA,67.6093189526205,0.155003145517756,NA,13.0551855874586
"155","Oman",7.13977750909359,NA,100.821775822722,NA,NA,19.4507657622454,NA,1.89976330382655,1.17280627026815
"156","Panama",NA,3821.05591909363,1262.83080932694,0.987808160272731,69.1610296034415,6.35501884205561,NA,2684.44470511124,13.9996032682535
"157","Papua_New_Guinea",NA,14.272254528852,589.104706466016,NA,935.708047575973,7.91622289284962,15.5907330533276,672.832836771904,84.5161234342713
"158","Paraguay",9442.09706818537,1465.61048951537,15376.681245444,12347.6020034091,133.541811572527,68.0807413522721,1813.14929469395,5936.76032445798,1852.97218037788
"159","Peru",3700.00861277412,11993.2651131435,12726.7085489003,13.3410227100471,110.922086596343,919.267556951645,50.3760222932707,5212.23809446112,2242.39324342355
"160","Puerto_Rico",NA,NA,23.0899090458078,NA,NA,NA,NA,NA,0.308633229017935
"161","Qatar",0.258687590909188,NA,3.49468893666281,NA,NA,9.97946118742837,NA,NA,0.0185179937410761
"162","Republic_of_Korea",44.9599033000169,33333.1819592684,341.00675402679,506.521084365304,NA,371.480850925401,47.0047038782595,NA,147.878525351653
"163","Republic_of_Moldova",7710.9079723029,NA,11377.7086952208,312.67495800451,NA,671.421822111477,3798.32624705502,NA,212.568050153812
"164","Réunion",NA,1.7796698801258,47.427921283281,NA,NA,NA,17.3216015116092,2023.96032981421,3.05546896727756
"165","Rwanda",594.257133836587,489.723276425206,2828.50137707954,237.769914214738,NA,1073.23901057289,209.202578733798,284.964495573983,1591.94871326825
"166","Saint_Kitts_and_Nevis",NA,NA,NA,NA,NA,NA,0.426258650173829,NA,0.0493813166428696
"167","Saint_Lucia",NA,NA,NA,NA,NA,NA,NA,NA,2.06166996983981
"168","Saint_Vincent_and_the_Grenadines",NA,NA,1.7473444683314,NA,NA,NA,3.8750786379439,63.3254434608851,0.598748464294794
"169","Samoa",NA,NA,1.12329287249876,NA,NA,NA,NA,0.0791568043261063,0.154316614508967
"170","Sao_Tome_and_Principe",NA,NA,27.4582702166364,NA,16.2731834361039,NA,NA,NA,4.01223197723315
"171","Saudi_Arabia",12113.5896882636,NA,539.904478650571,NA,NA,691.674618190012,12.9169287931463,NA,119.508958940325
"172","Senegal",NA,2967.40759992662,3256.5758097569,NA,71.1951775329544,5555.27829170652,7676.06577233031,565.97115093166,123.379219632209
"173","Serbia",13964.2924511462,NA,29222.4890401191,879.373764497338,NA,629.067274568759,2458.14321705092,NA,521.182761178006
"174","Seychelles",NA,NA,NA,NA,NA,NA,NA,NA,0.0987626332857392
"175","Sierra_Leone",NA,25892.4519814381,1497.72382999835,NA,244.097751541558,318.363178985445,1937.53931897195,79.1568043261063,1411.68838952803
"176","Solomon_Islands",NA,33.8486232102358,NA,NA,101.707396475649,NA,NA,NA,0.888863699571651
"177","Somalia",67.2587736363889,95.1250998671163,2371.39606416405,NA,NA,2614.25148897663,63.292951086417,459.109465091417,52.4676489330489
"178","South_Sudan",1116.97106279255,61.1295064897706,643.09483234324,NA,NA,13201.9546644652,1995.32570968752,1370.41046510486,32.0594706059241
"179","Sri_Lanka",NA,31772.0974150075,798.786042665785,17.2305173411209,NA,37.7750156603884,150.611389728086,1486.56478524428,178.143099789152
"180","Sudan",3399.27450557733,186.035233920642,1957.12847098072,NA,NA,40177.4669099364,6072.36842672219,4170.56583772258,97.5664855816087
"181","Suriname",NA,1543.49721838675,0.499241276666115,0.0785756491126036,5.59390680616071,NA,0.800849585175072,237.470412978319,1.27156890355389
"182","Swaziland",5.7687332772749,1.04686463536812,1172.54302444187,NA,NA,4.90401743014118,71.0431083623048,4131.66855860545,18.5179937410761
"183","Switzerland",2419.99654419636,NA,453.311079212833,6.31411466083422,NA,236.794859108078,310.807140620687,NA,73.9053130206347
"184","Syrian_Arab_Republic",46227.4724954719,NA,1128.78452654209,10.383210775594,NA,8053.14967165749,181.379514113361,NA,171.106262167543
"185","Tajikistan",8296.11104045766,539.135287214581,918.603949065652,0.112250927303719,NA,239.323397433482,74.7502669259378,NA,178.390006372367
"186","The_former_Yugoslav_Republic_of_Macedonia",2521.11752348277,88.0762113223043,792.146133686125,3.36752781911158,NA,317.193806539556,50.5439423675816,NA,82.4482807998512
"187","Timor-Leste",NA,1570.29695305218,1772.30653216471,5.522745623343,NA,NA,33.6098487197667,NA,62.5476101927747
"188","Togo",NA,1072.09407308049,11741.7554341657,3.08690050085228,143.407429030665,1722.28969699182,672.481146828784,NA,843.087219043712
"189","Tonga",NA,NA,NA,NA,NA,NA,18.8716329667868,NA,4.62949843526903
"190","Trinidad_and_Tobago",NA,65.638412637581,29.9544765999669,NA,NA,NA,NA,1266.5088692177,2.43202984466133
"191","Tunisia",21652.151359099,NA,NA,NA,NA,2654.71422455192,160.789929617086,NA,153.699348050932
"192","Turkmenistan",23928.6021590999,1954.14731935382,374.430957499587,NA,NA,397.953973731806,NA,NA,64.6586614792573
"193","Uganda",258.687590909188,3943.19012655324,20443.9302794774,813.819222951966,NA,4512.18582523602,5102.1868732928,2770.48815141372,2894.97968818823
"194","Ukraine",142562.731350054,753.742537465045,42954.7194443526,4011.84814183493,NA,35171.172198417,55523.4184173395,NA,2018.50343508747
"195","United_Arab_Emirates",0.258687590909188,NA,2.77078908549694,NA,NA,NA,NA,NA,1.66661943669684
"196","United_Republic_of_Tanzania",1376.83883385506,22115.7133319084,64393.6625502894,30.8690050085228,45.7683284140421,6427.77707319144,11108.5587621058,1662.29289084823,6908.26719106463
"197","Uruguay",5003.0180081837,6186.96999502558,1231.87785017364,1734.83808147898,NA,877.335452857966,840.246217994169,234.383297609601,52.8935627890937
"198","Uzbekistan",37470.638855605,2116.76029271433,819.504555647428,NA,NA,385.648012390253,158.103208428111,NA,4668.38528995757
"199","Vanuatu",NA,NA,34.9468893666281,NA,NA,NA,29.7089362242366,NA,NA
"200","Venezuela_(Bolivarian_Republic_of)",1.88841941363707,7915.3086125305,17495.1866409128,74.9106563361372,256.831517580309,1569.00394867915,65.4242443372862,9773.49063014435,407.185991707942
"201","Wallis_and_Futuna_Islands",NA,NA,0.249620638333058,NA,NA,NA,NA,0.0791568043261063,1.48143949928609
"202","Western_Sahara",NA,NA,NA,NA,NA,15.3059220666079,NA,NA,NA
"203","Yemen",2863.90445019653,NA,1080.88232604597,NA,NA,4383.06506668211,NA,NA,110.064782132376
"204","Zambia",442.355780454712,501.029414487181,18721.5478749793,236.709142951718,NA,623.257146552275,1691.09723452751,1899.76330382655,1135.770282786
"205","Zimbabwe",1738.40647966884,8.72387196140098,51054.6844996858,264.558598015771,NA,3357.69685796474,2879.45468349697,3441.7378520991,290.849782361921
