"","Area","Wheat","Rice","Maize","soya","Oil_Palm","Cereals","Oil_crops","Roots","sugarcane","sum_t","Region","kJ_t_N","N_total_kj"
"30","Australia",553000,8000,15000,0,0,169588.906877323,122426.098716706,18788.2068262863,60000,946803.212420315,"Oceania",29607941.5078667,28032894132801
"31","Bangladesh",20000,1025000,32000,10000,0,0,7889.67912508171,47345.1599671862,12000,1154234.83909227,"Other_Asia",30430384.3275296,35123809757802
"32","Belarus",81000,0,115000,0,0,81459.981540545,53071.18853062,4000,0,334531.170071165,"CIS",32815468.5045522,10977797075261.3
"33","Brazil",179000,182000,1059000,266000,12000,37509.0291038785,3807.56368349687,36592.4180332511,802000,2577909.01082063,"Latin_America",29607941.5078667,76326579204979.5
"34","Canada",773000,0,201000,15000,0,228097.235932873,892953.825728309,25000,0,2135051.06166118,"North_America",31170582.8652263,66550786038999.3
"35","Chile",37000,2000,25000,0,0,1239.7379862171,1253.54846536455,5842.96255046638,0,72336.249002048,"Latin_America",29607941.5078667,2141727429351.12
"36","China,_mainland",3396000,3899000,4654000,201000,5000,131397.68115942,709559.341703556,601124.599376126,443071.718538566,14040153.3407777,"China_",40135209.5995526,563504497141970
"37","Egypt",238000,153000,266000,1000,0,17000,10291.8783349755,31336.8127186896,31363.4432908099,747992.134344475,"Africa",29607941.5078667,22146507362015.6
"39","India",3949000,4932000,831000,271000,0,915000,878139.97247484,129894.230646905,847000,12753034.2031217,"India",35611774.0914063,454158173021549
"40","Indonesia",0,1192000,447000,15000,745000,0,2123.31376727905,73378.1475582324,60000,2534501.46132551,"Other_Asia",30430384.3275296,77125853546820.8
"41","Iran_(Islamic_Republic_of)",309000,58000,44000,1000,0,62000,13394.0709055997,37000,13875.3961177772,538269.467023377,"Middle_East",29607941.5078667,15937050895098.7
"42","Japan",37000,115000,0,5000,0,1003.08621490675,0,11714.0414618508,4277.70859277709,173994.836269535,"Japan",29978040.776715,5216024296625.96
"43","Malaysia",0,83000,1000,0,470000,0,0,475.299984416394,1000,555475.299984416,"Other_Asia",30430384.3275296,16903326862975.6
"44","Mexico",82000,7000,890000,0,7000,48694.1513761948,1911.73155220566,7778.63425511707,97993.5685747437,1142378.08575826,"Latin_America",29607941.5078667,33823463542999.3
"45","Morocco",88000,0,10000,0,0,34025.0585954983,269.764186114929,5919.29295910284,1169.78559106219,139383.901331778,"Africa",29607941.5078667,4126870397769.55
"46","New_Zealand",9000,0,4000,0,0,7952.83693224125,0,1750.50148056166,0,22703.3384128029,"Oceania",29607941.5078667,672199115759.571
"47","Pakistan",1359000,497000,149000,0,0,17000,27829.8392148674,27345.7608137744,198530.000209939,2275705.60023858,"Other_Asia",30430384.3275296,69250596031571.5
"48","Philippines",0,337000,133000,0,3000,0,92.3196610507789,2662.92474469384,44000,519755.244405745,"Other_Asia",30430384.3275296,15816351843515.9
"50","Russian_Federation",609000,15000,163000,30000,0,158250.724979983,96305.3053433419,15000,0,1086556.03032332,"CIS",32815468.5045522,35655845191506.4
"51","South_Africa",21000,0,268000,5000,0,6229.47028934798,11833.8666761836,9722.31634067457,32000,353785.653306206,"Africa",29607941.5078667,10474864929412.5
"52","Thailand",0,986000,85000,0,35000,1088.91399064063,551.612958784726,27472.0530666294,85000,1220112.58001605,"Other_Asia",30430384.3275296,37128494732742.3
"53","Turkey",627000,15000,119000,2000,0,156859.549784636,37513.075113083,21990.7509770643,0,979363.375874783,"Western_Europe",28785498.6882037,28191463171518.3
"54","Ukraine",319000,1000,331000,35000,0,127472.072024079,208376.359166969,35000,0,1056848.43119105,"CIS",32815468.5045522,34680976407835.3
"55","United_States_of_America",1561000,201000,5577000,178000,0,394477.230297449,128192.778474605,100091.227120338,41381.3606092939,8181142.59650169,"North_America",31170582.8652263,255010983236488
"56","Uzbekistan",188000,7000,6000,0,0,9772.96181630547,4579.21635434412,7000,0,222352.17817065,"CIS",32815468.5045522,7296590899677.54
"57","Viet_Nam",0,812000,162000,5000,0,0,10462.0181619031,22008.6401744746,54000,1065470.65833638,"Other_Asia",30430384.3275296,32422681622882
"58","Afghanistan",68597.7328419125,7408.13772476707,2792.6844286157,0,0,1982.62199337724,1.88374629291041,146.22704915985,293.974743076877,81223.2625272021,"Other_Asia",30430384.3275296,2471655095038.6
"59","Albania",1809.40606352989,0,1209.43026436113,0.953562014190392,0,23.5041803585379,6.15357122350732,56.1309797246814,0,3105.57862121194,"Central_European_countries",35858506.9373052,111361412533.075
"60","Algeria",42685.3929565645,6.06120359299124,21.6158172703089,0,0,4564.34122147441,130.965218459485,913.157488487692,0,48321.5339058494,"Africa",29607941.5078667,1430701149454.78
"61","American_Samoa",0,0,0.131937847021214,0,0,0,0,0.105245586983778,2.83900842223775,3.07619185624274,"Other_Asia",30430384.3275296,93609700.4506834
"62","Angola",107.895381427666,1012.49038685589,35715.2673336663,108.563265644565,586.736313603295,2275.36373555245,3160.74687509481,5040.40995787297,1234.23601633865,49241.7092660566,"Africa",29607941.5078667,1457945647696.78
"63","Antigua_and_Barbuda",0,0,1.01152349382931,0,0,0,0,0.146174426366358,0,1.15769792019567,"Latin_America",29607941.5078667,34277052.3049322
"64","Armenia",2709.61130028563,0,62.5825187703959,0,0,366.735530170037,0,175.654884675925,0,3314.58423390199,"CIS",32815468.5045522,108769634533.296
"65","Azerbaijan",15624.1249403313,36.6029350310082,826.326735893864,0.359313222738409,0,1936.42054419773,104.996430278649,360.512911235876,0,18889.3438101912,"CIS",32815468.5045522,619862666874.987
"66","Bahamas",0,0,1.16545098202073,0,0,0,0,0.245573036295481,213.200374418371,214.611398436687,"Latin_America",29607941.5078667,6354201731.8349
"67","Bahrain",0,0,0,0,0,0,0,0.0116939541093086,0,0.0116939541093086,"Middle_East",29607941.5078667,346233.909264086
"68","Barbados",0,0,4.39792823404047,0,0,0,0.0807319839818745,0.157868380475666,350.022264186861,354.658792785359,"Latin_America",29607941.5078667,10500716792.0395
"69","Belize",0,118.227143416624,416.17594878725,14.027035426134,0,22.2361765137909,0.789379398933884,0.865352604088838,2484.22395037488,3056.5449865217,"Latin_America",29607941.5078667,90498005177.0977
"70","Benin",0,2511.5607288158,21286.632341991,450.445190500382,915.10009968618,744.877331288957,1462.22666410015,1734.52913117142,92.9546305990748,29198.326118153,"Africa",29607941.5078667,864502331833.889
"71","Bermuda",0,0,0,0,0,0,0,0.263113967459444,0,0.263113967459444,"Latin_America",29607941.5078667,7790262.95844195
"72","Bhutan",59.8413531396853,685.555799720603,542.066644486658,0.709413285919422,0,14.8241176758606,0,30.6907825598805,44.4167446704939,1378.1048555391,"Other_Asia",30430384.3275296,41936260397.6895
"73","Bolivia_(Plurinational_State_of)",3874.8762498251,5890.31132502218,10376.713761448,5907.73127008956,0,1916.82412114255,1913.37493103175,1211.92632202642,13623.3940282337,44715.1520088193,"Latin_America",29607941.5078667,1323923605192.49
"74","Bosnia_and_Herzegovina",1539.33156780486,0,3739.77827381632,19.2831429536279,0,125.843617937302,12.4506659740935,199.820440842811,0,5636.50770932901,"Central_European_countries",35858506.9373052,202116750797.149
"75","Botswana",0,0,2291.25464101158,0,0,328.804924250582,22.524223530943,0,0,2642.58378879311,"Africa",29607941.5078667,78241466248.2229
"76","Brunei_Darussalam",0,50.8130901212432,2.46283981106266,0,0,0,0,1.06999680100174,0,54.3459267333076,"Other_Asia",30430384.3275296,1653767437.13032
"77","Burkina_Faso",0,4857.75161960283,16490.8015509757,60.7653938607993,0,15794.7746190145,3364.19147472913,21.8267653450245,433.360898517066,41023.472322045,"Africa",29607941.5078667,1214620568960.7
"78","Burundi",252.445207240677,799.068673676012,2138.31668667282,20.4440010578597,219.790863552652,241.01294896337,149.874443152129,1923.58528725661,274.559588705445,6019.09770027758,"Africa",29607941.5078667,178213092639.953
"79","Cabo_Verde",0,0,682.470503358401,0,0,0,3.13957715485068,3.60758484272171,118.688868232907,807.90653358888,"Africa",29607941.5078667,23920449390.3229
"80","Cambodia",0,96194.7693761603,2635.26058747822,469.87113742715,363.690042675645,0,161.463967963749,1946.67499964544,2228.07212595556,103999.802237306,"Other_Asia",30430384.3275296,3164753952068.3
"81","Cameroon",17.1898487420694,4273.18220641212,24417.2975553927,44.7713488691614,3509.73607617056,4745.26807915829,3713.23172236455,1993.71977702719,12107.7298544261,54822.1264685627,"Africa",29607941.5078667,1623170313818.07
"82","Cayman_Islands",0,0,0,0,0,0,0,0.0116939541093086,0,0.0116939541093086,"Latin_America",29607941.5078667,346233.909264086
"83","Central_African_Republic",0,308.414242823371,2187.83735858811,0,16.9891572382749,231.952485127268,913.11461971677,1429.45140939072,1581.96875760435,6669.72803048886,"Africa",29607941.5078667,197476917400.093
"84","Chad",16.078324688071,6523.10098013047,6288.88344718968,0,0,12671.6523311333,6948.36863558844,204.638349935846,398.743311949135,33051.4653806149,"Africa",29607941.5078667,978585853738.527
"85","China,_Taiwan_Province_of",57.1013170995961,9127.19608379927,593.830259801315,3.07719529216996,0,13.4177861389594,194.232183239948,17.7280344297119,726.969317926558,10733.5521777275,"China_",40135209.5995526,430793366400.829
"86","Colombia",113.427152301054,15532.6086941658,11121.283011471,165.440706172144,6982.77252076203,71.9765091509126,14.0473652128462,1782.78423280348,36736.0363364218,72520.3765284611,"Latin_America",29607941.5078667,2147179066383.14
"87","Comoros",0,805.56763086183,69.4212971743289,0,0,0,10.0197362341949,65.152865320013,0,950.161529590367,"Africa",29607941.5078667,28132326991.1367
"88","Congo",0,63.2048841335809,287.316651529864,0,295.097591969616,91.7919510520047,453.489494467074,787.868464160559,1750.11132093431,3728.88035824701,"Africa",29607941.5078667,110404471536.81
"89","Cook_Islands",0,0,0,0,0,0,0,0.175409311639629,0,0.175409311639629,"Other_Asia",30430384.3275296,5337772.76782133
"90","Costa_Rica",0,1546.78548357807,136.863526643339,0,1977.40565161059,0,1.74919298627395,88.2425777088429,5788.37184927539,9539.41828180251,"Latin_America",29607941.5078667,282442538506.683
"91","Côte_d'Ivoire",0,28461.4590181958,9085.78988691006,1.07333308843653,6866.87493163805,805.061404683723,699.677194509579,3816.49148590745,2368.7404142316,52105.1676691647,"Africa",29607941.5078667,1542726756606.21
"92","Cuba",0,5777.40457142607,4088.35806564636,0,0,23.9595090118789,48.4391903891247,416.702360731104,37108.5875061528,47463.4512033573,"Latin_America",29607941.5078667,1405295086990.49
"93","Democratic_People's_Republic_of_Korea",775.481898138471,17678.5104795578,11694.0911743136,1381.97393360926,0,920.870501286004,0,756.131072707896,0,33207.059059613,"Other_Asia",30430384.3275296,1010503569571
"94","Democratic_Republic_of_the_Congo",162.980445592102,13676.1293803392,33209.8115980158,202.689510262692,4523.69374200221,446.821500273491,4395.40801679095,10715.3981824646,4170.68653410095,71503.618909842,"Africa",29607941.5078667,2117074966283.39
"95","Djibouti",0,0,0.175917129361619,0,0,0,0,0,0,0.175917129361619,"Africa",29607941.5078667,5208544.07637063
"96","Dominica",0,0,2.57278801691368,0,0,0,0,0.947210282853999,21.979420043131,25.4994183428987,"Latin_America",29607941.5078667,754985286.781167
"97","Dominican_Republic",0,5494.04330345373,532.50115057762,0,89.8797629941069,7.12963979978211,37.8453600466143,151.775830384717,9711.60674605743,16024.781793314,"Latin_America",29607941.5078667,474460802012.768
"98","Ecuador",157.216030149273,11924.9466422641,10680.2807578026,122.152675991723,6918.02043344369,140.437189459572,159.293174616681,303.914173346822,8873.45819507937,39279.7192721538,"Latin_America",29607941.5078667,1162991630655.35
"99","El_Salvador",0,239.047135036916,6979.09430424,12.2074364135485,0,470.5389358241,0,14.4361863479415,7307.88242159052,15023.206419453,"Latin_America",29607941.5078667,444806216927.772
"100","Equatorial_Guinea",0,0,0,0,89.3711055917633,0,0,137.193469610409,0,226.564575202172,"Africa",29607941.5078667,6708110690.34058
"101","Eritrea",646.234915115392,0,417.803182233845,0,0,2017.27884391571,27.1887381610068,0.760107017105061,0,3109.26578644306,"Africa",29607941.5078667,92058959537.4171
"102","Ethiopia",43009.3892936068,1576.99048148314,46505.3643594729,162.428002996875,0,18919.1879653557,849.766922952326,393.864068355624,2763.54574675634,114180.53684098,"Africa",29607941.5078667,3380650656124.54
"103","Faroe_Islands",0,0,0,0,0,0,0,0.660708407175937,0,0.660708407175937,"Western_Europe",28785498.6882037,19018820.9880481
"104","Fiji",0,42.0580182647003,21.4618897821175,0,0,0.0461092307180734,3.66882016095407,45.1562037930953,3480.07484016241,3592.465881394,"Other_Asia",30430384.3275296,109320117454.357
"105","French_Guiana",0,60.2753023969684,6.59689235106071,0,0,0,0,34.9064530162862,9.15809168463792,110.936739448953,"Latin_America",29607941.5078667,3284608492.67805
"106","French_Polynesia",0,0,0,0,0,0,0,1.57283682770201,3.66323667385517,5.23607350155718,"Other_Asia",30430384.3275296,159335729.019579
"107","Gabon",0,20.5744188628758,599.459607940887,21.5541867845258,106.894353102499,0,160.961635618973,357.016418957192,429.606080926365,1696.06670219332,"Africa",29607941.5078667,50217043711.9801
"108","Gambia",0,2232.07189647232,807.085799869937,0,89.1930755009431,738.11656533492,726.821081568374,17.8332800166957,0,4611.12169876319,"Africa",29607941.5078667,136525821542.635
"109","Georgia",907.313820822011,0,2750.90411039232,3.44111509468707,0,116.137624871147,21.6092610458151,105.830284689243,0,3905.23621691522,"CIS",32815468.5045522,128152156079.018
"110","Ghana",0,7542.83113794465,22407.4443524362,0,8877.08898569979,2242.06134366632,2996.05362777179,5197.06801409832,549.485501078275,49812.0329626953,"Africa",29607941.5078667,1474831758347.41
"111","Grenada",0,0,8.83983575042135,0,0,0,0,0.152021403421012,14.744527612267,23.7363847661094,"Latin_America",29607941.5078667,702785491.763183
"112","Guadeloupe",0,0,0,0,0,0,0,0.485299095536308,965.17128264399,965.656581739526,"Latin_America",29607941.5078667,28591103588.8304
"113","Guam",0,0,0.439792823404047,0,0,0,0,0,0,0.439792823404047,"Other_Asia",30430384.3275296,13383064.6406745
"114","Guatemala",19.8781859889495,376.535436537933,19101.4777196256,69.0986966804632,2924.78006347546,160.771360206243,22.5690746331551,143.420500173616,24322.0598960614,47140.5909333828,"Latin_America",29607941.5078667,1395735859001.87
"115","Guinea",0,50991.72726047,13340.7194844207,0,7918.19348367183,1488.34256738717,1928.59739512256,1060.17387954992,514.135267175572,77241.8893377978,"Africa",29607941.5078667,2286973341470.63
"116","Guinea-Bissau",0,2862.23503002364,292.858041104755,0,242.222654996003,129.209591779721,320.299661337866,28.550788957877,22.2541627936701,3897.62993099353,"Africa",29607941.5078667,115400799016.167
"117","Guyana",0,6242.66929389474,63.6160319053954,0,0,0,4.48511022121525,4.32676302044419,4667.42142707571,10982.5186261175,"Latin_America",29607941.5078667,325169769091.143
"118","Haiti",0,1873.38333718041,8534.24570707905,0,0,798.19112930673,378.274196057294,818.266897867707,2134.29326710487,14536.6545345961,"Latin_America",29607941.5078667,430400417180.385
"119","Honduras",55.8088472693653,269.117439528811,7991.45340443377,2.58889783562802,3306.27311523313,185.791381524637,1.39038416857673,26.1301404572501,5970.34313104915,17808.8967415003,"Latin_America",29607941.5078667,527284773041.979
"120","Iceland",0,0,0,0,0,0,0,3.50818623279259,0,3.50818623279259,"Western_Europe",28785498.6882037,100984890.202025
"121","Iraq",54528.1389145896,2658.47756923925,1859.75191232869,0.156623712475717,0,6733.97072733648,21.7796952342213,150.530424272075,50.003180598123,66002.8090473109,"Middle_East",29607941.5078667,1954207309627.67
"122","Israel",1592.32283084433,0,211.056575951602,0,0,86.6680627884588,34.7775446553031,102.614447309183,0,2027.43946154888,"Middle_East",29607941.5078667,60028308988.2798
"123","Jamaica",0,0.202040119766375,49.9384750975296,0,0,0,17.9942622075156,12.0155378473146,2719.95323033746,2800.10354560959,"Latin_America",29607941.5078667,82905301994.3787
"124","Jordan",595.001411045044,0,12.8639400845684,0,0,223.422277444425,0,37.3563364021864,0,868.643964976224,"Middle_East",29607941.5078667,25718759706.1774
"125","Kazakhstan",308205.147451666,3208.29608183015,2765.02146002359,536.086115166148,0,11513.2674187647,9078.81393110656,1082.29299374768,0,336388.925452305,"CIS",32815468.5045522,11038760188460.3
"126","Kenya",3805.28967416548,955.986500027896,46533.1812555532,10.1529018322494,0,2154.920661263,319.438520175393,1048.5325482341,6610.31057797165,61437.812639223,"Africa",29607941.5078667,1819047162993.39
"127","Kuwait",0.336042155860004,0,34.3917987901965,0,0,5.04896076362904,0,10.6765801017988,0,50.4533818114843,"Middle_East",29607941.5078667,1493820777.54849
"128","Kyrgyzstan",8763.64338267304,271.474574259419,2022.65117411755,2.35856884669314,0,896.0810261212,271.268436399541,461.279713795788,0,12688.7568762132,"CIS",32815468.5045522,416387501633.296
"129","Lao_People's_Democratic_Republic",0,32253.5500260909,5351.9488162097,50.5341801723121,0,0,227.036279397916,359.647558631787,3120.16183695614,41362.8786974588,"Other_Asia",30430384.3275296,1258688295656.66
"130","Lebanon",951.257795049857,0,21.9896411702024,0,0,82.0167941397731,20.4431323882991,104.719359048859,0.274742750539137,1180.70146454753,"Middle_East",29607941.5078667,34958139900.5758
"131","Lesotho",357.548853835044,0,2918.61910359745,0,0,135.682175041771,0,44.8463140091986,0,3456.69644648346,"Africa",29607941.5078667,102345666197.933
"132","Liberia",0,6144.30942892181,147.638450816739,36.2998486561367,442.252178467607,0,72.0398403731594,392.039811514572,2394.47465186543,9629.05421061545,"Africa",29607941.5078667,285096473843.98
"133","Libya",6501.48513761331,0,32.7645653436015,0,0,1119.49753991178,89.702204424305,82.6060918281561,0,7826.05553912115,"Africa",29607941.5078667,231713394639.615
"134","Madagascar",53.404853385136,32621.1620240058,4904.19574270204,0.368526382295804,46.0080620419749,13.832769215422,475.421683448817,2412.29901739284,8395.68055189181,48922.3732304661,"Africa",29607941.5078667,1448490765033.66
"135","Malawi",24.4535291879664,2269.58401204227,37481.9590845627,561.601960560354,0,816.657876209318,3506.45917094608,1645.07038223521,2438.15874920115,48743.9447649451,"Africa",29607941.5078667,1443207865463.18
"136","Maldives",0,0,0.769637440957083,0,0,0.253600768949404,0,0.0292348852732716,0,1.05247309517976,"Other_Asia",30430384.3275296,32027160.7807047
"137","Mali",265.757646492054,23038.7695503729,17660.6724508716,15.5426001733255,0,16991.683793648,3157.31128066536,70.9823014435033,446.548550542945,61647.2681742097,"Africa",29607941.5078667,1825248710221.77
"138","Martinique",0,0,0,0,0,0,0,0.608085613684048,347.366417598316,347.974503212,"Latin_America",29607941.5078667,10302808737.3299
"139","Mauritania",90.3177917365272,1922.88316652318,405.225107484489,0,0,826.087213891164,10.584860122068,2.22185128076864,0,3257.3199910382,"Africa",29607941.5078667,96442539767.0637
"140","Mauritius",0,13.8734215572911,3.03457048148793,0,0,0,2.15285290618332,4.98162445056547,4642.60299861034,4666.64546800587,"Africa",29607941.5078667,138169766054.669
"141","Micronesia_(Federated_States_of)",0,3.09794850308441,1.29738882904194,0,0,0.0403455768783143,0,4.84714397830843,0,9.28282688731309,"Other_Asia",30430384.3275296,282479989.826863
"142","Mongolia",7528.55921290451,0,0,0,0,39.584774571466,33.0821729916837,77.2093320067102,0,7678.43549247437,"Other_Asia",30430384.3275296,233657743070.139
"143","Montenegro",19.102704090811,0,14.2932667606315,0,0,3.49853788073382,0,9.61827725490634,0,46.5127859870827,"Central_European_countries",35858506.9373052,1667879058.9912
"144","Montserrat",0,0,0.439792823404047,0,0,0,0,0.245573036295481,0,0.685365859699528,"Latin_America",29607941.5078667,20292272.2854724
"145","Mozambique",491.138535487698,12678.01751534,37459.3537334397,0,0,1995.9533247086,3837.98954827787,5195.62381076582,4240.01328815366,65898.0897561733,"Africa",29607941.5078667,1951106786980.93
"146","Myanmar",2552.44696892957,231320.61575675,10073.5645682756,695.354004434837,0,2714.09882948876,12827.7381606115,430.436909832486,16344.1714868227,276958.426685145,"Other_Asia",30430384.3275296,8427951366776.91
"147","Namibia",38.7740949069235,0,769.439534186551,0,0,2603.76520403425,6.33297563235593,6.61293104881403,0,3424.92473980889,"Africa",29607941.5078667,101404971365.107
"148","Nepal",19502.6976538708,50070.6263544551,20423.1211228783,109.438515802518,0,1725.38435885495,0,1202.86935456876,6014.57671388595,99048.7140743164,"Other_Asia",30430384.3275296,3014090436429.04
"149","New_Caledonia",0,0,24.8702841634989,0,0,0.737747691489175,0,3.44386948519139,0,29.0519013401795,"Other_Asia",30430384.3275296,884060523.227134
"150","Nicaragua",0,2228.50252102311,6880.36081538579,8.08454751161419,127.16435058589,340.222722507145,387.029131209106,147.443220387218,6529.44462839629,16648.2519370062,"Latin_America",29607941.5078667,492920469559.106
"151","Niger",18.5340173655095,493.718706002431,707.054922186687,0,0,63000.0620968334,6987.16483900195,55.7801611014021,502.412909819236,71764.7276523106,"Africa",29607941.5078667,2124805858657.59
"152","Nigeria",1809.4577623231,103778.682005124,143890.756272101,2916.03870519201,77085.7322487904,41575.4368619498,25114.580998765,39613.0415131778,7497.91282404675,443281.63919147,"Africa",29607941.5078667,13124656844692.3
"153","Niue",0,0,0,0,0,0,0,0.0409288393825802,0,0.0409288393825802,"Other_Asia",30430384.3275296,1245480.31249165
"154","Norway",2046.49672918742,0,0.659689235106071,0,0,764.266262805907,36.7779038139651,72.1809317397075,0,2920.38151678211,"Western_Europe",28785498.6882037,84064638320.3857
"155","Occupied_Palestinian_Territory",452.028398424915,0,18.7571639181826,0,0,44.8239359118071,0.053821322654583,10.4310070655033,0,526.094326643063,"Middle_East",29607941.5078667,15576570050.8683
"156","Oman",24.014089445688,0,31.7750314909424,0,0,3.82130249576034,0,1.16939541093086,5.49485501078275,66.2746738541043,"Middle_East",29607941.5078667,1962256666.92526
"157","Panama",0,2633.92969468764,1207.67109306751,1.3220883964862,135.353734763621,7.52156826088573,0,12.3371215853206,3499.12367086645,7497.25897162791,"Latin_America",29607941.5078667,221978405101.288
"158","Papua_New_Guinea",0,13.6377080842303,571.928577195793,0,3955.80318515574,6.7204203771592,12.4865468558633,88.833122391363,668.72385481226,5318.13341487241,"Other_Asia",30430384.3275296,161832843719.645
"159","Paraguay",14475.6620985848,4040.80239532749,17591.7129361619,16123.0292254414,401.737616370943,144.09134599398,1498.02681388589,1053.85914433089,10806.5481878727,66135.46976397,"Latin_America",29607941.5078667,1958135120366.91
"160","Peru",3637.9665299438,12841.9393991771,11643.7129063927,5.38509176129743,955.436631692024,870.507694034188,33.7190586430963,2434.22518134779,8274.97690348828,40697.8693964803,"Latin_America",29607941.5078667,1204980136585.78
"161","Puerto_Rico",0,0.841833832359894,13.6335775255255,0,0,0,0,0.315736760951333,0,14.7911481188367,"Latin_America",29607941.5078667,437935448.33671
